FY,Character_Title,Fund_Title,Department_Title,SubObjTitle,budget
2014,Purchase of Services,General Operating Fund,City Council,Advertising/Promotional Activities,758186
2014,Materials and Supplies,General Operating Fund,City Council,Agricultural and Botanical,334
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,City Council,Auto - Motor Vehicle,55000
2014,Materials and Supplies,General Operating Fund,City Council,Books and Other Publications,33031
2014,Materials and Supplies,General Operating Fund,City Council,Building and Construction,93
2014,Purchase of Services,General Operating Fund,City Council,Cleaning and Laundering,57
2014,Equipment,General Operating Fund,City Council,Computer Equipment & Peripherals,4824
2014,Materials and Supplies,General Operating Fund,City Council,Cordage and Fibers,566
2014,Purchase of Services,General Operating Fund,City Council,Court Reporters,157534
2014,Purchase of Services,General Operating Fund,City Council,Dues,1170
2014,Materials and Supplies,General Operating Fund,City Council,Electrical and Communication,2430
2014,Materials and Supplies,General Operating Fund,City Council,Food,4283
2014,Equipment,General Operating Fund,City Council,Furniture and Furnishings,24762
2014,Materials and Supplies,General Operating Fund,City Council,General Hardware and Minor Tools,47
2014,Purchase of Services,General Operating Fund,City Council,Information Technology-prof Service,141580
2014,Purchase of Services,General Operating Fund,City Council,Janitorial Services,2246
2014,Materials and Supplies,General Operating Fund,City Council,"Janitorial, Laundry and Household",3974
2014,Purchase of Services,General Operating Fund,City Council,Legal Services,303
2014,Purchase of Services,General Operating Fund,City Council,Maint/support-computr Hardware/soft,22458
2014,Purchase of Services,General Operating Fund,City Council,Meals-non-travel & officl Entertain,6240
2014,Materials and Supplies,General Operating Fund,City Council,Office Materials and Supplies,75680
2014,Personal Services,General Operating Fund,City Council,Overtime-civilian,886
2014,Personal Services,General Operating Fund,City Council,Perm Full Time-civilian,11546396
2014,Personal Services,General Operating Fund,City Council,Perm Part Time,201291
2014,Personal Services,General Operating Fund,City Council,Plus/minus Gross Adj,1224
2014,Purchase of Services,General Operating Fund,City Council,Postage,119550
2014,Equipment,General Operating Fund,City Council,"Precision, Photographic and Artists",780
2014,Materials and Supplies,General Operating Fund,City Council,"Precision, Photographic and Artists",756
2014,Materials and Supplies,General Operating Fund,City Council,Printing,127841
2014,Purchase of Services,General Operating Fund,City Council,Professional Consult/spec Services,782057
2014,Purchase of Services,General Operating Fund,City Council,Refuse/garbage/silt/sludge Removal,381
2014,Purchase of Services,General Operating Fund,City Council,Rents,129627
2014,Purchase of Services,General Operating Fund,City Council,Repair and Maintenance Charges,8579
2014,Personal Services,General Operating Fund,City Council,Salary Control,149158
2014,Purchase of Services,General Operating Fund,City Council,Seminar and Training Sessions,2953
2014,Purchase of Services,General Operating Fund,City Council,Telephone,1413
2014,Personal Services,General Operating Fund,City Council,Temporary/seasonal,98633
2014,Purchase of Services,General Operating Fund,City Council,Transportation,7355
2014,Materials and Supplies,General Operating Fund,Mayor's Office-Labor Relations,Books and Other Publications,5997
2014,Equipment,General Operating Fund,Mayor's Office-Labor Relations,Office Equipment,1491
2014,Materials and Supplies,General Operating Fund,Mayor's Office-Labor Relations,Office Materials and Supplies,500
2014,Personal Services,General Operating Fund,Mayor's Office-Labor Relations,Overtime-civilian,6253
2014,Personal Services,General Operating Fund,Mayor's Office-Labor Relations,Perm Full Time-civilian,460598
2014,Materials and Supplies,General Operating Fund,Mayor's Office-Labor Relations,Printing,94
2014,Purchase of Services,General Operating Fund,Mayor's Office-Labor Relations,Professional Consult/spec Services,500
2014,Personal Services,General Operating Fund,Mayor's Office-Labor Relations,Salary Control,1327
2014,Purchase of Services,General Operating Fund,Mayor's Office-Labor Relations,Seminar and Training Sessions,1420
2014,Purchase of Services,General Operating Fund,Mayor's Office-Labor Relations,Transportation,1148
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,MDO-Office of Technology,Auto-motor Vehicle/non-punitive Dam,750
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Books and Other Publications,7446
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Commercial off-shelf Comp Software,2259056
2014,Equipment,General Operating Fund,MDO-Office of Technology,Computer Equipment & Peripherals,938805
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Dues,29528
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Electric Current-structures/streets,211000
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Electrical and Communication,462699
2014,Equipment,General Operating Fund,MDO-Office of Technology,Electrical Lighting Communication,793225
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Employee Relocation Expenses,2649
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Food,28
2014,Equipment,General Operating Fund,MDO-Office of Technology,Furniture and Furnishings,80638
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,General Hardware and Minor Tools,198
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Ground and Building Rental,26874
2014,Personal Services,General Operating Fund,MDO-Office of Technology,"Holiday ""G""(2/3 Shifts)",36988
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Information Technology-prof Service,9637646
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Maint/support-computr Hardware/soft,4806841
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Meals-non-travel & officl Entertain,1146
2014,Equipment,General Operating Fund,MDO-Office of Technology,Office Equipment,38711
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Office Materials and Supplies,54944
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Overtime-civilian,633199
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Perm Full Time-civilian,16049329
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Perm Part Time,104906
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Plus/minus Gross Adj,211273
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Postage,3975
2014,Equipment,General Operating Fund,MDO-Office of Technology,"Precision, Photographic and Artists",1477
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,"Precision, Photographic and Artists",12390
2014,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Printing,598
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Professional Consult/spec Services,1414776
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Rent/Lease-Purchase Computer Equipment,8455471
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Rents,700074
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Repair and Maintenance Charges,3893550
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Salary Control,248928
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Seminar and Training Sessions,113825
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Shift,11434
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Sick Pay(b Time)-civilian,15643
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Telephone,12658437
2014,Personal Services,General Operating Fund,MDO-Office of Technology,Temporary/seasonal,168589
2014,Purchase of Services,General Operating Fund,MDO-Office of Technology,Transportation,21408
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Commercial off-shelf Comp Software,1465399
2014,Equipment,Water Operating Fund,MDO-Office of Technology,Computer Equipment & Peripherals,709108
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,"Holiday ""G""(2/3 Shifts)",2607
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Information Technology-prof Service,5806882
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Maint/support-computr Hardware/soft,1153847
2014,Equipment,Water Operating Fund,MDO-Office of Technology,Office Equipment,23379
2014,Materials and Supplies,Water Operating Fund,MDO-Office of Technology,Office Materials and Supplies,42430
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,Overtime-civilian,68643
