FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2014	Purchase of Services	General Operating Fund	City Council	Advertising/Promotional Activities	758186	1	10	2	240
2014	Materials and Supplies	General Operating Fund	City Council	Agricultural and Botanical	334	1	10	3	301
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	City Council	Auto - Motor Vehicle	55000	1	10	5	561
2014	Materials and Supplies	General Operating Fund	City Council	Books and Other Publications	33031	1	10	3	304
2014	Materials and Supplies	General Operating Fund	City Council	Building and Construction	93	1	10	3	305
2014	Purchase of Services	General Operating Fund	City Council	Cleaning and Laundering	57	1	10	2	201
2014	Equipment	General Operating Fund	City Council	Computer Equipment & Peripherals	4824	1	10	4	427
2014	Materials and Supplies	General Operating Fund	City Council	Cordage and Fibers	566	1	10	3	309
2014	Purchase of Services	General Operating Fund	City Council	Court Reporters	157534	1	10	2	258
2014	Purchase of Services	General Operating Fund	City Council	Dues	1170	1	10	2	255
2014	Materials and Supplies	General Operating Fund	City Council	Electrical and Communication	2430	1	10	3	310
2014	Materials and Supplies	General Operating Fund	City Council	Food	4283	1	10	3	313
2014	Equipment	General Operating Fund	City Council	Furniture and Furnishings	24762	1	10	4	430
2014	Materials and Supplies	General Operating Fund	City Council	General Hardware and Minor Tools	47	1	10	3	316
2014	Purchase of Services	General Operating Fund	City Council	Information Technology-prof Service	141580	1	10	2	251
2014	Purchase of Services	General Operating Fund	City Council	Janitorial Services	2246	1	10	2	202
2014	Materials and Supplies	General Operating Fund	City Council	Janitorial, Laundry and Household	3974	1	10	3	318
2014	Purchase of Services	General Operating Fund	City Council	Legal Services	303	1	10	2	253
2014	Purchase of Services	General Operating Fund	City Council	Maint/support-computr Hardware/soft	22458	1	10	2	266
2014	Purchase of Services	General Operating Fund	City Council	Meals-non-travel & officl Entertain	6240	1	10	2	230
2014	Materials and Supplies	General Operating Fund	City Council	Office Materials and Supplies	75680	1	10	3	320
2014	Personal Services	General Operating Fund	City Council	Overtime-civilian	886	1	10	1	161
2014	Personal Services	General Operating Fund	City Council	Perm Full Time-civilian	11546396	1	10	1	101
2014	Personal Services	General Operating Fund	City Council	Perm Part Time	201291	1	10	1	111
2014	Personal Services	General Operating Fund	City Council	Plus/minus Gross Adj	1224	1	10	1	109
2014	Purchase of Services	General Operating Fund	City Council	Postage	119550	1	10	2	210
2014	Equipment	General Operating Fund	City Council	Precision, Photographic and Artists	780	1	10	4	424
2014	Materials and Supplies	General Operating Fund	City Council	Precision, Photographic and Artists	756	1	10	3	324
2014	Materials and Supplies	General Operating Fund	City Council	Printing	127841	1	10	3	325
2014	Purchase of Services	General Operating Fund	City Council	Professional Consult/spec Services	782057	1	10	2	250
2014	Purchase of Services	General Operating Fund	City Council	Refuse/garbage/silt/sludge Removal	381	1	10	2	205
2014	Purchase of Services	General Operating Fund	City Council	Rents	129627	1	10	2	285
2014	Purchase of Services	General Operating Fund	City Council	Repair and Maintenance Charges	8579	1	10	2	260
2014	Personal Services	General Operating Fund	City Council	Salary Control	149158	1	10	1	100
2014	Purchase of Services	General Operating Fund	City Council	Seminar and Training Sessions	2953	1	10	2	256
2014	Purchase of Services	General Operating Fund	City Council	Telephone	1413	1	10	2	209
2014	Personal Services	General Operating Fund	City Council	Temporary/seasonal	98633	1	10	1	121
2014	Purchase of Services	General Operating Fund	City Council	Transportation	7355	1	10	2	211
2014	Materials and Supplies	General Operating Fund	Mayor's Office-Labor Relations	Books and Other Publications	5997	3	10	3	304
2014	Equipment	General Operating Fund	Mayor's Office-Labor Relations	Office Equipment	1491	3	10	4	420
2014	Materials and Supplies	General Operating Fund	Mayor's Office-Labor Relations	Office Materials and Supplies	500	3	10	3	320
2014	Personal Services	General Operating Fund	Mayor's Office-Labor Relations	Overtime-civilian	6253	3	10	1	161
2014	Personal Services	General Operating Fund	Mayor's Office-Labor Relations	Perm Full Time-civilian	460598	3	10	1	101
2014	Materials and Supplies	General Operating Fund	Mayor's Office-Labor Relations	Printing	94	3	10	3	325
2014	Purchase of Services	General Operating Fund	Mayor's Office-Labor Relations	Professional Consult/spec Services	500	3	10	2	250
2014	Personal Services	General Operating Fund	Mayor's Office-Labor Relations	Salary Control	1327	3	10	1	100
2014	Purchase of Services	General Operating Fund	Mayor's Office-Labor Relations	Seminar and Training Sessions	1420	3	10	2	256
2014	Purchase of Services	General Operating Fund	Mayor's Office-Labor Relations	Transportation	1148	3	10	2	211
