Materials and Supplies-General Operating Fund-City Council-Agricultural and Botanical,334
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-City Council-Auto - Motor Vehicle",55000
Materials and Supplies-General Operating Fund-City Council-Books and Other Publications,33031
Materials and Supplies-General Operating Fund-City Council-Building and Construction,93
Purchase of Services-General Operating Fund-City Council-Cleaning and Laundering,57
Equipment-General Operating Fund-City Council-Computer Equipment & Peripherals,4824
Materials and Supplies-General Operating Fund-City Council-Cordage and Fibers,566
Purchase of Services-General Operating Fund-City Council-Court Reporters,157534
Purchase of Services-General Operating Fund-City Council-Dues,1170
Materials and Supplies-General Operating Fund-City Council-Electrical and Communication,2430
Materials and Supplies-General Operating Fund-City Council-Food,4283
Equipment-General Operating Fund-City Council-Furniture and Furnishings,24762
Materials and Supplies-General Operating Fund-City Council-General Hardware and Minor Tools,47
Purchase of Services-General Operating Fund-City Council-Information Technology-prof Service,141580
Purchase of Services-General Operating Fund-City Council-Janitorial Services,2246
"Materials and Supplies-General Operating Fund-City Council-Janitorial, Laundry and Household",3974
Purchase of Services-General Operating Fund-City Council-Legal Services,303
Purchase of Services-General Operating Fund-City Council-Maint/support-computr Hardware/soft,22458
Purchase of Services-General Operating Fund-City Council-Meals-non-travel & officl Entertain,6240
Materials and Supplies-General Operating Fund-City Council-Office Materials and Supplies,75680
Personal Services-General Operating Fund-City Council-Overtime-civilian,886
Personal Services-General Operating Fund-City Council-Perm Full Time-civilian,11546396
Personal Services-General Operating Fund-City Council-Perm Part Time,201291
Personal Services-General Operating Fund-City Council-Plus/minus Gross Adj,1224
Purchase of Services-General Operating Fund-City Council-Postage,119550
"Equipment-General Operating Fund-City Council-Precision, Photographic and Artists",780
"Materials and Supplies-General Operating Fund-City Council-Precision, Photographic and Artists",756
Materials and Supplies-General Operating Fund-City Council-Printing,127841
Purchase of Services-General Operating Fund-City Council-Professional Consult/spec Services,782057
Purchase of Services-General Operating Fund-City Council-Refuse/garbage/silt/sludge Removal,381
Purchase of Services-General Operating Fund-City Council-Rents,129627
Purchase of Services-General Operating Fund-City Council-Repair and Maintenance Charges,8579
Personal Services-General Operating Fund-City Council-Salary Control,149158
Purchase of Services-General Operating Fund-City Council-Seminar and Training Sessions,2953
Purchase of Services-General Operating Fund-City Council-Telephone,1413
Personal Services-General Operating Fund-City Council-Temporary/seasonal,98633
Purchase of Services-General Operating Fund-City Council-Transportation,7355
Materials and Supplies-General Operating Fund-Mayor's Office-Labor Relations-Books and Other Publications,5997
Equipment-General Operating Fund-Mayor's Office-Labor Relations-Office Equipment,1491
Materials and Supplies-General Operating Fund-Mayor's Office-Labor Relations-Office Materials and Supplies,500
Personal Services-General Operating Fund-Mayor's Office-Labor Relations-Overtime-civilian,6253
Personal Services-General Operating Fund-Mayor's Office-Labor Relations-Perm Full Time-civilian,460598
Materials and Supplies-General Operating Fund-Mayor's Office-Labor Relations-Printing,94
Purchase of Services-General Operating Fund-Mayor's Office-Labor Relations-Professional Consult/spec Services,500
Personal Services-General Operating Fund-Mayor's Office-Labor Relations-Salary Control,1327
Purchase of Services-General Operating Fund-Mayor's Office-Labor Relations-Seminar and Training Sessions,1420
Purchase of Services-General Operating Fund-Mayor's Office-Labor Relations-Transportation,1148
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-MDO-Office of Technology-Auto-motor Vehicle/non-punitive Dam",750
Materials and Supplies-General Operating Fund-MDO-Office of Technology-Books and Other Publications,7446
Purchase of Services-General Operating Fund-MDO-Office of Technology-Commercial off-shelf Comp Software,2259056
Equipment-General Operating Fund-MDO-Office of Technology-Computer Equipment & Peripherals,938805
Purchase of Services-General Operating Fund-MDO-Office of Technology-Dues,29528
Purchase of Services-General Operating Fund-MDO-Office of Technology-Electric Current-structures/streets,211000
Materials and Supplies-General Operating Fund-MDO-Office of Technology-Electrical and Communication,462699
Equipment-General Operating Fund-MDO-Office of Technology-Electrical Lighting Communication,793225
Purchase of Services-General Operating Fund-MDO-Office of Technology-Employee Relocation Expenses,2649
Materials and Supplies-General Operating Fund-MDO-Office of Technology-Food,28
