Department,Amount
Animal Welfare ,"10,666"
Aviation ,"66,586"
Chief Administrative Office ,"2,154"
City Support ,"85,477"
Council Services ,"3,607"
Cultural Services ,"39,022"
Economic Development ,"4,651"
Environmental Health ,"8,023"
Family and Community Services ,"59,834"
Finance and Administrative Svc ,"80,997"
Fire ,"77,584"
Human Resources ,"63,594"
Legal ,"5,588"
Mayor's Office Department ,"1,016"
Municipal Development ,"53,884"
Internal Audit ,794
Office of Inspector General ,337
Office of the City Clerk ,"1,254"
Parks and Recreation ,"32,750"
Planning Department ,"13,830"
Police ,"156,964"
Senior Affairs ,"14,054"
Solid Waste ,"65,468"
Transit ,"45,012"
