Department,Count
Animal Welfare ,139
Aviation,272
Chief Administrative Office ,21
City Support,na
Council Services ,26
Cultural Services ,327
Economic Development ,9
Environmental Health ,74
Family and Community Services ,285
Finance and Administrative Services,300
Fire,702
Human Resources ,33
Legal ,59
Mayor's Office Department ,6
Municipal Development ,461
Office of Inspector General ,3
Internal Audit ,7
Office of the City Clerk ,16
Parks and Recreation ,259
Planning Department ,155
Police ,1455
Senior Affairs ,110
Solid Waste ,457
