Department,Goal,% of total,General Fund,Included in General Approp Act ,Spcial Funds not includedApprop Act ,Debt Service Funds,Enterprise Funds,Internal Service,Interfund Elimination,Total 
Cultural Services ,1 - Human and Family Development ,,"11,233",0,0,0,0,0,0,"11,233"
Family and Community Services ,1 - Human and Family Development ,,"31,328",0,"18,483",0,"4,781",0,"-1,292","53,300"
Senior Affairs ,1 - Human and Family Development ,,"6,528",0,"7,591",0,0,0,-65,"14,054"
Parks and Recreation ,1 - Human and Family Development ,,"25,756",0,168,0,"4,577",0,"-1,286","29,215"
Environmental Health ,1 - Human and Family Development ,,"1,601",706,0,0,0,0,0,"2,307"
Animal Welfare ,2 - Public Safety ,,"10,592",79,0,0,0,0,-5,"10,666"
Fire ,2 - Public Safety ,,"73,721","1,902","2,029",102,0,0,-170,"77,584"
Family and Community Services ,2 - Public Safety ,,"6,534",0,0,0,0,0,0,"6,534"
Legal ,2 - Public Safety ,,879,0,0,0,0,0,0,879
Police ,2 - Public Safety ,,"149,875","3,200","4,610",0,0,0,-721,"156,964"
Aviation ,3 - Public Infrastructure ,,0,0,0,0,"83,640",0,"-17,054","66,586"
Municipal Development ,3 - Public Infrastructure ,,"25,217","5,417",0,0,"2,047",0,-784,"31,897"
City Support ,3 - Public Infrastructure ,,"13,692",0,0,"73,564",0,0,"-9,867","77,389"
Municipal Development ,4 - Sustainable Community Development ,,458,0,0,0,0,0,0,458
Parks and Recreation ,4 - Sustainable Community Development ,,"3,479",0,0,0,0,0,"-2,803",676
Planning Department ,4 - Sustainable Community Development ,,"13,830",0,0,0,0,0,0,"13,830"
Cultural Services ,5 - Environmental Protection and Enhancement ,,"12,771","2,100",0,0,0,0,0,"14,871"
Parks and Recreation ,5 - Environmental Protection and Enhancement ,,0,"2,859",0,0,0,0,0,"2,859"
Solid Waste ,5 - Environmental Protection and Enhancement ,,0,0,401,0,"70,065",0,"-4,998","65,468"
Environmental Health ,5 - Environmental Protection and Enhancement ,,"1,209","2,367","2,374",0,0,0,-234,"5,716"
Transit ,5 - Environmental Protection and Enhancement ,,"19,415",0,970,0,"49,401",0,"-24,774","45,012"
City Support ,5 - Environmental Protection and Enhancement ,,384,0,0,0,0,0,-384,0
Economic Development ,6 - Economic Vitality ,,"4,651",0,0,0,0,0,0,"4,651"
Municipal Development ,6 - Economic Vitality ,,"5,421",0,0,0,"4,353",0,-608,"9,166"
Finance and Administrative Svc ,6 - Economic Vitality ,,0,"12,921",0,0,0,0,"-6,832","6,089"
City Support ,6 - Economic Vitality ,,113,0,0,0,0,0,-113,0
Office of the City Clerk ,7 - Community and Cultural Engagement ,,804,0,0,0,0,0,0,804
Cultural Services ,7 - Community and Cultural Engagement ,,"10,781","2,087",52,0,0,0,-2,"12,918"
Municipal Development ,7 - Community and Cultural Engagement ,,0,0,0,0,"1,014",0,"-1,014",0
City Support ,7 - Community and Cultural Engagement ,,496,0,0,0,0,0,0,496
Office of the City Clerk ,8 - Government Excellence and Effectiveness ,,450,0,0,0,0,0,0,450
Council Services ,8 - Government Excellence and Effectiveness ,,"3,607",0,0,0,0,0,0,"3,607"
Municipal Development ,8 - Government Excellence and Effectiveness ,,"11,378","3,095",0,0,0,0,"-2,110","12,363"
Finance and Administrative Svc ,8 - Government Excellence and Effectiveness ,,"22,401",500,0,0,0,"53,977","-1,970","74,908"
Legal ,8 - Government Excellence and Effectiveness ,,"4,709",0,0,0,0,0,0,"4,709"
Mayor's Office Department ,8 - Government Excellence and Effectiveness ,,"1,016",0,0,0,0,0,0,"1,016"
Chief Administrative Office ,8 - Government Excellence and Effectiveness ,,"2,154",0,0,0,0,0,0,"2,154"
Internal Audit ,8 - Government Excellence and Effectiveness ,,794,0,0,0,0,0,0,794
Office of Inspector General ,8 - Government Excellence and Effectiveness ,,337,0,0,0,0,0,0,337
Human Resources ,8 - Government Excellence and Effectiveness ,,"2,387",0,0,0,0,"61,278",-71,"63,594"
City Support ,8 - Government Excellence and Effectiveness ,,"13,402",0,0,0,0,0,"-5,810","7,592"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
